Year,Lon,Lat,PID,PFT,age,cmass,ndist,relative
2003,-149.25,64.75,1,Needleleaf evergreen,119,0.35,1,0.02902155887230514
2003,-149.25,64.75,1,Pioneering broadleaf,119,10.44,1,0.8656716417910448
2004,-149.25,64.75,1,Needleleaf evergreen,120,0.34,1,0.02777777777777778
2004,-149.25,64.75,1,Pioneering broadleaf,120,10.61,1,0.866830065359477
2005,-149.25,64.75,1,Needleleaf evergreen,121,0.36,1,0.028892455858747994
2005,-149.25,64.75,1,Pioneering broadleaf,121,10.78,1,0.8651685393258427
2006,-149.25,64.75,1,Needleleaf evergreen,122,0.38,1,0.030158730158730156
2006,-149.25,64.75,1,Pioneering broadleaf,122,10.88,1,0.8634920634920634
2007,-149.25,64.75,1,Needleleaf evergreen,123,0.39,1,0.03181076672104405
2007,-149.25,64.75,1,Pioneering broadleaf,123,10.5,1,0.8564437194127243
2008,-149.25,64.75,1,Needleleaf evergreen,124,0.4,1,0.03207698476343224
2008,-149.25,64.75,1,Pioneering broadleaf,124,10.67,1,0.8556535685645549
2009,-149.25,64.75,1,Needleleaf evergreen,125,0.41,1,0.03235990528808208
2009,-149.25,64.75,1,Pioneering broadleaf,125,10.83,1,0.8547750591949487
2010,-149.25,64.75,1,Needleleaf evergreen,126,0.43,1,0.03346303501945525
2010,-149.25,64.75,1,Pioneering broadleaf,126,11,1,0.8560311284046693
2011,-149.25,64.75,1,Needleleaf evergreen,127,0.44,1,0.03387220939183988
2011,-149.25,64.75,1,Pioneering broadleaf,127,11.12,1,0.8560431100846806
2012,-149.25,64.75,1,Needleleaf evergreen,128,0.45,1,0.03424657534246575
2012,-149.25,64.75,1,Pioneering broadleaf,128,11.24,1,0.8554033485540334
2013,-149.25,64.75,1,Needleleaf evergreen,129,0.46,1,0.03642121931908156
2013,-149.25,64.75,1,Pioneering broadleaf,129,10.76,1,0.8519398258115598
2014,-149.25,64.75,1,Needleleaf evergreen,130,0.49,1,0.038281249999999996
2014,-149.25,64.75,1,Pioneering broadleaf,130,10.9,1,0.8515625
2015,-149.25,64.75,1,Needleleaf evergreen,131,0.51,1,0.03926096997690531
2015,-149.25,64.75,1,Pioneering broadleaf,131,11.06,1,0.8514241724403387
2016,-149.25,64.75,1,Needleleaf evergreen,132,0.53,1,0.040242976461655276
2016,-149.25,64.75,1,Pioneering broadleaf,132,11.19,1,0.8496583143507972
2017,-149.25,64.75,1,Needleleaf evergreen,133,0.55,1,0.04116766467065869
2017,-149.25,64.75,1,Pioneering broadleaf,133,11.33,1,0.8480538922155689
2018,-149.25,64.75,1,Needleleaf evergreen,134,0.57,1,0.04225352112676056
2018,-149.25,64.75,1,Pioneering broadleaf,134,11.45,1,0.848776871756857
2019,-149.25,64.75,1,Needleleaf evergreen,135,0.57,1,0.04194260485651214
2019,-149.25,64.75,1,Pioneering broadleaf,135,11.55,1,0.8498896247240618
2020,-149.25,64.75,1,Needleleaf evergreen,136,0.6,1,0.04341534008683068
2020,-149.25,64.75,1,Pioneering broadleaf,136,11.71,1,0.8473227206946455
2021,-149.25,64.75,1,Needleleaf evergreen,137,0.62,1,0.04428571428571428
2021,-149.25,64.75,1,Pioneering broadleaf,137,11.86,1,0.8471428571428571
2022,-149.25,64.75,1,Needleleaf evergreen,138,0.66,1,0.046250875963559916
2022,-149.25,64.75,1,Pioneering broadleaf,138,12.04,1,0.843728100911002
2023,-149.25,64.75,1,Needleleaf evergreen,139,0.68,1,0.04938271604938272
2023,-149.25,64.75,1,Pioneering broadleaf,139,11.49,1,0.8344226579520697
2024,-149.25,64.75,1,Needleleaf evergreen,140,0.71,1,0.05096913137114141
2024,-149.25,64.75,1,Pioneering broadleaf,140,11.63,1,0.8348887293610912
2025,-149.25,64.75,1,Needleleaf evergreen,141,0.73,1,0.05427509293680297
2025,-149.25,64.75,1,Pioneering broadleaf,141,11.1,1,0.8252788104089219
2026,-149.25,64.75,1,Needleleaf evergreen,142,0.75,1,0.05518763796909492
2026,-149.25,64.75,1,Pioneering broadleaf,142,11.2,1,0.8241353936718174
2027,-149.25,64.75,1,Needleleaf evergreen,143,0.77,1,0.056245434623813
2027,-149.25,64.75,1,Pioneering broadleaf,143,11.31,1,0.8261504747991234
2028,-149.25,64.75,1,Needleleaf evergreen,144,0.8,1,0.05767844268204759
2028,-149.25,64.75,1,Pioneering broadleaf,144,11.42,1,0.8233597692862293
2029,-149.25,64.75,1,Needleleaf evergreen,145,0.81,1,0.05806451612903227
2029,-149.25,64.75,1,Pioneering broadleaf,145,11.51,1,0.8250896057347671
2030,-149.25,64.75,1,Needleleaf evergreen,146,0.84,1,0.059532246633593196
2030,-149.25,64.75,1,Pioneering broadleaf,146,11.61,1,0.8228206945428774
2031,-149.25,64.75,1,Needleleaf evergreen,147,0.84,1,0.05890603085553997
2031,-149.25,64.75,1,Pioneering broadleaf,147,11.72,1,0.8218793828892006
2032,-149.25,64.75,1,Needleleaf evergreen,148,0.87,1,0.060332871012482664
2032,-149.25,64.75,1,Pioneering broadleaf,148,11.83,1,0.8203883495145631
2033,-149.25,64.75,1,Needleleaf evergreen,149,0.89,1,0.060958904109589034
2033,-149.25,64.75,1,Pioneering broadleaf,149,11.96,1,0.8191780821917808
2034,-149.25,64.75,1,Needleleaf evergreen,150,0.91,1,0.06144496961512492
2034,-149.25,64.75,1,Pioneering broadleaf,150,12.1,1,0.8170155300472653
2035,-149.25,64.75,1,Needleleaf evergreen,151,0.93,1,0.061958694203864094
2035,-149.25,64.75,1,Pioneering broadleaf,151,12.25,1,0.8161225849433711
2036,-149.25,64.75,1,Needleleaf evergreen,152,0.96,1,0.06340819022457067
2036,-149.25,64.75,1,Pioneering broadleaf,152,12.37,1,0.8170409511228534
2037,-149.25,64.75,1,Needleleaf evergreen,153,0.99,1,0.06462140992167102
2037,-149.25,64.75,1,Pioneering broadleaf,153,12.48,1,0.814621409921671
2038,-149.25,64.75,1,Needleleaf evergreen,154,1.01,1,0.06524547803617571
2038,-149.25,64.75,1,Pioneering broadleaf,154,12.59,1,0.8133074935400516
2039,-149.25,64.75,1,Needleleaf evergreen,155,1.05,1,0.07056451612903225
2039,-149.25,64.75,1,Pioneering broadleaf,155,11.91,1,0.8004032258064516
2040,-149.25,64.75,1,Needleleaf evergreen,156,1.1,1,0.07713884992987378
2040,-149.25,64.75,1,Pioneering broadleaf,156,11.24,1,0.788218793828892
2041,-149.25,64.75,1,Needleleaf evergreen,157,1.15,1,0.08935508935508936
2041,-149.25,64.75,1,Pioneering broadleaf,157,9.75,1,0.7575757575757576
2042,-149.25,64.75,1,Needleleaf evergreen,158,1.17,1,0.0897239263803681
2042,-149.25,64.75,1,Pioneering broadleaf,158,9.86,1,0.7561349693251533
2043,-149.25,64.75,1,Needleleaf evergreen,159,1.22,1,0.0989456609894566
2043,-149.25,64.75,1,Pioneering broadleaf,159,9.11,1,0.7388483373884833
2044,-149.25,64.75,1,Needleleaf evergreen,160,1.28,1,0.10199203187250995
2044,-149.25,64.75,1,Pioneering broadleaf,160,9.21,1,0.7338645418326694
2045,-149.25,64.75,1,Needleleaf evergreen,161,1.3,1,0.1026045777426993
2045,-149.25,64.75,1,Pioneering broadleaf,161,9.28,1,0.7324388318863456
2046,-149.25,64.75,1,Needleleaf evergreen,162,1.33,1,0.12950340798442064
2046,-149.25,64.75,1,Pioneering broadleaf,162,6.81,1,0.6630963972736125
2047,-149.25,64.75,1,Needleleaf evergreen,163,1.37,1,0.13147792706333974
2047,-149.25,64.75,1,Pioneering broadleaf,163,6.87,1,0.6593090211132437
2048,-149.25,64.75,1,Needleleaf evergreen,164,1.43,1,0.1347785108388313
2048,-149.25,64.75,1,Pioneering broadleaf,164,6.94,1,0.6540999057492932
2049,-149.25,64.75,1,Needleleaf evergreen,165,1.46,1,0.13594040968342644
2049,-149.25,64.75,1,Pioneering broadleaf,165,7.01,1,0.6527001862197392
2050,-149.25,64.75,1,Needleleaf evergreen,166,1.52,1,0.15109343936381708
2050,-149.25,64.75,1,Pioneering broadleaf,166,6.2,1,0.6163021868787276
2051,-149.25,64.75,1,Needleleaf evergreen,167,1.57,1,0.1533203125
