Lon,Lat,Year,TG,PID,PFT,age,cmass,ndist,ecoregion,relative
-126.25,64.75,2091,274.7940673828125,0,BNE,99,0.77,3,TAIGA CORDILLERA,0.06438127090301005
-126.25,64.75,2091,274.7940673828125,1,BNE,1141,6.45,0,TAIGA CORDILLERA,1
-126.25,64.75,2091,274.7940673828125,2,BNE,109,0.66,1,TAIGA CORDILLERA,0.058149779735682826
-126.25,64.75,2091,274.7940673828125,3,BNE,1141,6.59,0,TAIGA CORDILLERA,0.9984848484848485
-126.25,64.75,2091,274.7940673828125,4,BNE,194,5.22,1,TAIGA CORDILLERA,0.43176178660049624
-126.25,64.75,2091,274.7940673828125,5,BNE,204,2.37,1,TAIGA CORDILLERA,0.18202764976958527
-126.25,64.75,2091,274.7940673828125,6,BNE,1141,6.35,0,TAIGA CORDILLERA,1
-126.25,64.75,2091,274.7940673828125,7,BNE,499,6.62,0,TAIGA CORDILLERA,0.9865871833084948
-126.25,64.75,2091,274.7940673828125,8,BNE,301,7.5,0,TAIGA CORDILLERA,0.9578544061302682
-126.25,64.75,2091,274.7940673828125,9,BNE,210,6.63,1,TAIGA CORDILLERA,0.9032697547683923
-126.25,64.75,2091,274.7940673828125,10,BNE,699,10.12,0,TAIGA CORDILLERA,0.9950835791543755
-126.25,64.75,2091,274.7940673828125,11,BNE,1055,7.51,0,TAIGA CORDILLERA,1
-126.25,64.75,2091,274.7940673828125,12,BNE,183,3.32,1,TAIGA CORDILLERA,0.2645418326693227
-126.25,64.75,2091,274.7940673828125,13,BNE,41,0.15,2,TAIGA CORDILLERA,0.026041666666666668
-126.25,64.75,2091,274.7940673828125,14,BNE,120,1.44,1,TAIGA CORDILLERA,0.11320754716981131
-126.25,64.75,2091,274.7940673828125,15,BNE,109,0.92,1,TAIGA CORDILLERA,0.0901077375122429
-126.25,64.75,2091,274.7940673828125,16,BNE,122,0.98,1,TAIGA CORDILLERA,0.08566433566433565
-126.25,64.75,2091,274.7940673828125,17,BNE,11,0.13,2,TAIGA CORDILLERA,0.10236220472440945
-126.25,64.75,2091,274.7940673828125,18,BNE,118,1.47,1,TAIGA CORDILLERA,0.11864406779661016
-126.25,64.75,2091,274.7940673828125,19,BNE,213,9.32,1,TAIGA CORDILLERA,1
-126.25,64.75,2091,274.7940673828125,20,BNE,289,6.02,1,TAIGA CORDILLERA,1
-126.25,64.75,2091,274.7940673828125,21,BNE,4,0.01,2,TAIGA CORDILLERA,0.015384615384615384
-126.25,64.75,2091,274.7940673828125,22,BNE,288,6.84,1,TAIGA CORDILLERA,0.9771428571428571
-126.25,64.75,2091,274.7940673828125,23,BNE,20,0.42,2,TAIGA CORDILLERA,0.1686746987951807
-126.25,64.75,2091,274.7940673828125,24,BNE,3,0.01,1,TAIGA CORDILLERA,0.023255813953488372
-126.25,64.75,2092,275.4060363769531,0,BNE,100,0.78,3,TAIGA CORDILLERA,0.06382978723404256
-126.25,64.75,2092,275.4060363769531,1,BNE,1142,6.61,0,TAIGA CORDILLERA,1
-126.25,64.75,2092,275.4060363769531,2,BNE,110,0.68,1,TAIGA CORDILLERA,0.05872193436960277
-126.25,64.75,2092,275.4060363769531,3,BNE,1142,6.76,0,TAIGA CORDILLERA,0.9985228951255539
-126.25,64.75,2092,275.4060363769531,4,BNE,195,5.3,1,TAIGA CORDILLERA,0.4315960912052117
-126.25,64.75,2092,275.4060363769531,5,BNE,205,2.43,1,TAIGA CORDILLERA,0.1836734693877551
-126.25,64.75,2092,275.4060363769531,6,BNE,1142,6.49,0,TAIGA CORDILLERA,1
-126.25,64.75,2092,275.4060363769531,7,BNE,500,6.78,0,TAIGA CORDILLERA,0.9854651162790699
-126.25,64.75,2092,275.4060363769531,8,BNE,302,7.6,0,TAIGA CORDILLERA,0.9583858764186632
-126.25,64.75,2092,275.4060363769531,9,BNE,211,6.78,1,TAIGA CORDILLERA,0.901595744680851
-126.25,64.75,2092,275.4060363769531,10,BNE,700,9.59,0,TAIGA CORDILLERA,0.993782383419689
-126.25,64.75,2092,275.4060363769531,11,BNE,1056,5.91,0,TAIGA CORDILLERA,1
-126.25,64.75,2092,275.4060363769531,12,BNE,184,3.41,1,TAIGA CORDILLERA,0.26703210649960846
-126.25,64.75,2092,275.4060363769531,13,BNE,42,0.15,2,TAIGA CORDILLERA,0.025466893039049237
-126.25,64.75,2092,275.4060363769531,14,BNE,121,1.48,1,TAIGA CORDILLERA,0.12121212121212122
-126.25,64.75,2092,275.4060363769531,15,BNE,110,0.93,1,TAIGA CORDILLERA,0.08916586768935764
-126.25,64.75,2092,275.4060363769531,16,BNE,123,1.01,1,TAIGA CORDILLERA,0.09148550724637682
-126.25,64.75,2092,275.4060363769531,17,BNE,12,0.17,2,TAIGA CORDILLERA,0.11724137931034483
-126.25,64.75,2092,275.4060363769531,18,BNE,119,1.5,1,TAIGA CORDILLERA,0.11857707509881424
-126.25,64.75,2092,275.4060363769531,19,BNE,214,9.5,1,TAIGA CORDILLERA,1
-126.25,64.75,2092,275.4060363769531,20,BNE,290,6.18,1,TAIGA CORDILLERA,1
-126.25,64.75,2092,275.4060363769531,21,BNE,5,0.01,2,TAIGA CORDILLERA,0.012195121951219513
-126.25,64.75,2092,275.4060363769531,22,BNE,289,6.99,1,TAIGA CORDILLERA,0.9776223776223776
-126.25,64.75,2092,275.4060363769531,23,BNE,21,0.44,2,TAIGA CORDILLERA,0.16296296296296295
-126.25,64.75,2092,275.4060363769531,24,BNE,4,0.01,1,TAIGA CORDILLERA,0.014492753623188403
-126.25,64.75,2093,276.3016052246094,0,BNE,101,0.79,3,TAIGA CORDILLERA,0.06355591311343524
-126.25,64.75,2093,276.3016052246094,1,BNE,1143,6.73,0,TAIGA CORDILLERA,1
-126.25,64.75,2093,276.3016052246094,2,BNE,111,0.7,1,TAIGA CORDILLERA,0.05937234944868533
-126.25,64.75,2093,276.3016052246094,3,BNE,1143,6.86,0,TAIGA CORDILLERA,0.9985443959243087
-126.25,64.75,2093,276.3016052246094,4,BNE,196,5.36,1,TAIGA CORDILLERA,0.43970467596390483
-126.25,64.75,2093,276.3016052246094,5,BNE,206,2.48,1,TAIGA CORDILLERA,0.18479880774962745
-126.25,64.75,2093,276.3016052246094,6,BNE,1143,6.61,0,TAIGA CORDILLERA,1
-126.25,64.75,2093,276.3016052246094,7,BNE,501,6.71,0,TAIGA CORDILLERA,0.9853157121879589
-126.25,64.75,2093,276.3016052246094,8,BNE,303,7.72,0,TAIGA CORDILLERA,0.9590062111801243
-126.25,64.75,2093,276.3016052246094,9,BNE,212,6.88,1,TAIGA CORDILLERA,0.8993464052287582
-126.25,64.75,2093,276.3016052246094,10,BNE,701,9.73,0,TAIGA CORDILLERA,0.9938712972420837
-126.25,64.75,2093,276.3016052246094,11,BNE,1057,6.04,0,TAIGA CORDILLERA,1
-126.25,64.75,2093,276.3016052246094,12,BNE,185,3.46,1,TAIGA CORDILLERA,0.2678018575851393
-126.25,64.75,2093,276.3016052246094,13,BNE,43,0.15,2,TAIGA CORDILLERA,0.02487562189054726
-126.25,64.75,2093,276.3016052246094,14,BNE,122,1.51,1,TAIGA CORDILLERA,0.12177419354838709
-126.25,64.75,2093,276.3016052246094,15,BNE,111,0.94,1,TAIGA CORDILLERA,0.09279368213228034
-126.25,64.75,2093,276.3016052246094,16,BNE,124,1.04,1,TAIGA CORDILLERA,0.09294012511170689
-126.25,64.75,2093,276.3016052246094,17,BNE,13,0.2,2,TAIGA CORDILLERA,0.12422360248447206
-126.25,64.75,2093,276.3016052246094,18,BNE,120,1.52,1,TAIGA CORDILLERA,0.11828793774319067
-126.25,64.75,2093,276.3016052246094,19,BNE,215,9.63,1,TAIGA CORDILLERA,1
-126.25,64.75,2093,276.3016052246094,20,BNE,291,6.18,1,TAIGA CORDILLERA,1
-126.25,64.75,2093,276.3016052246094,21,BNE,6,0.02,2,TAIGA CORDILLERA,0.022727272727272728
-126.25,64.75,2093,276.3016052246094,22,BNE,290,6.98,1,TAIGA CORDILLERA,0.9762237762237762
-126.25,64.75,2093,276.3016052246094,23,BNE,22,0.45,2,TAIGA CORDILLERA,0.15789473684210525
-126.25,64.75,2093,276.3016052246094,24,BNE,5,0.01,1,TAIGA CORDILLERA,0.0125
-126.25,64.75,2094,275.24078369140625,0,BNE,102,0.79,3,TAIGA CORDILLERA,0.0625
-126.25,64.75,2094,275.24078369140625,1,BNE,1144,6.83,0,TAIGA CORDILLERA,1
-126.25,64.75,2094,275.24078369140625,2,BNE,112,0.72,1,TAIGA CORDILLERA,0.059850374064837904
-126.25,64.75,2094,275.24078369140625,3,BNE,1144,5.89,0,TAIGA CORDILLERA,0.9983050847457627
-126.25,64.75,2094,275.24078369140625,4,BNE,197,5.43,1,TAIGA CORDILLERA,0.43967611336032386
-126.25,64.75,2094,275.24078369140625,5,BNE,207,2.51,1,TAIGA CORDILLERA,0.1857883049592894
-126.25,64.75,2094,275.24078369140625,6,BNE,1144,6.72,0,TAIGA CORDILLERA,1
-126.25,64.75,2094,275.24078369140625,7,BNE,502,6.77,0,TAIGA CORDILLERA,0.9854439592430859
-126.25,64.75,2094,275.24078369140625,8,BNE,304,7.84,0,TAIGA CORDILLERA,0.9596083231334149
-126.25,64.75,2094,275.24078369140625,9,BNE,213,6.97,1,TAIGA CORDILLERA,0.8970398970398971
-126.25,64.75,2094,275.24078369140625,10,BNE,702,9.86,0,TAIGA CORDILLERA,0.9929506545820745
-126.25,64.75,2094,275.24078369140625,11,BNE,1058,6.06,0,TAIGA CORDILLERA,1
-126.25,64.75,2094,275.24078369140625,12,BNE,186,3.32,1,TAIGA CORDILLERA,0.2577639751552795
-126.25,64.75,2094,275.24078369140625,13,BNE,44,0.15,2,TAIGA CORDILLERA,0.025337837837837836
-126.25,64.75,2094,275.24078369140625,14,BNE,123,1.54,1,TAIGA CORDILLERA,0.1220285261489699
-126.25,64.75,2094,275.24078369140625,15,BNE,112,0.95,1,TAIGA CORDILLERA,0.09161041465766635
-126.25,64.75,2094,275.24078369140625,16,BNE,125,1.04,1,TAIGA CORDILLERA,0.0912280701754386
-126.25,64.75,2094,275.24078369140625,17,BNE,14,0.23,2,TAIGA CORDILLERA,0.1270718232044199
-126.25,64.75,2094,275.24078369140625,18,BNE,121,1.53,1,TAIGA CORDILLERA,0.11715160796324657
-126.25,64.75,2094,275.24078369140625,19,BNE,216,9.66,1,TAIGA CORDILLERA,1
-126.25,64.75,2094,275.24078369140625,20,BNE,292,6.28,1,TAIGA CORDILLERA,1
-126.25,64.75,2094,275.24078369140625,21,BNE,7,0.06,2,TAIGA CORDILLERA,0.06382978723404255
-126.25,64.75,2094,275.24078369140625,22,BNE,291,7,1,TAIGA CORDILLERA,0.9749303621169917
-126.25,64.75,2094,275.24078369140625,23,BNE,23,0.45,2,TAIGA CORDILLERA,0.1495016611295681
-126.25,64.75,2094,275.24078369140625,24,BNE,6,0.02,1,TAIGA CORDILLERA,0.024096385542168676
-126.25,64.75,2095,275.5602111816406,0,BNE,103,0.8,3,TAIGA CORDILLERA,0.06254886630179829
-126.25,64.75,2095,275.5602111816406,1,BNE,1145,6.88,0,TAIGA CORDILLERA,1
-126.25,64.75,2095,275.5602111816406,2,BNE,113,0.73,1,TAIGA CORDILLERA,0.06266094420600858
-126.25,64.75,2095,275.5602111816406,3,BNE,1145,5.97,0,TAIGA CORDILLERA,0.9983277591973244
-126.25,64.75,2095,275.5602111816406,4,BNE,198,5.47,1,TAIGA CORDILLERA,0.45735785953177255
-126.25,64.75,2095,275.5602111816406,5,BNE,208,2.53,1,TAIGA CORDILLERA,0.18644067796610167
-126.25,64.75,2095,275.5602111816406,6,BNE,1145,6.53,0,TAIGA CORDILLERA,1
-126.25,64.75,2095,275.5602111816406,7,BNE,503,6.75,0,TAIGA CORDILLERA,0.9854014598540146
-126.25,64.75,2095,275.5602111816406,8,BNE,305,7.89,0,TAIGA CORDILLERA,0.9598540145985403
-126.25,64.75,2095,275.5602111816406,9,BNE,214,7.02,1,TAIGA CORDILLERA,0.8988476312419974
-126.25,64.75,2095,275.5602111816406,10,BNE,703,9.85,0,TAIGA CORDILLERA,0.9929435483870968
-126.25,64.75,2095,275.5602111816406,11,BNE,1059,6,0,TAIGA CORDILLERA,1
