timestep,run,state,alpha,k
1900001,3,1.0932867747849906,2,0
1900002,3,1.1387384451138198,2,0
1900003,3,1.1258936163708877,2,0
1900004,3,1.1090715450168755,2,0
1900005,3,1.0733955196765046,2,0
1900006,3,1.086246672109182,2,0
1900007,3,1.0531948462364222,2,0
1900008,3,1.0459501177109487,2,0
1900009,3,0.9746779003332352,2,0
1900010,3,0.9276795631982612,2,0
1900011,3,0.9048377281522224,2,0
1900012,3,0.9185854630115404,2,0
1900013,3,0.903409486260568,2,0
1900014,3,0.9009121330764536,2,0
1900015,3,0.8870886727121369,2,0
1900016,3,0.884113727242383,2,0
1900017,3,0.8674215681115571,2,0
1900018,3,0.8165754255934956,2,0
1900019,3,0.7831725247297286,2,0
1900020,3,0.7958520473071081,2,0
1900021,3,0.7935392971177306,2,0
1900022,3,0.7739887808211325,2,0
1900023,3,0.7797681077588736,2,0
1900024,3,0.7895258678258308,2,0
1900025,3,0.760280829857657,2,0
1900026,3,0.7722122961430598,2,0
1900027,3,0.8047515881169205,2,0
1900028,3,0.7993353129303447,2,0
1900029,3,0.7283127193389809,2,0
1900030,3,0.6850101109783069,2,0
1900031,3,0.7100955578698243,2,0
1900032,3,0.7376261434754459,2,0
1900033,3,0.7721397142604344,2,0
1900034,3,0.7745963641606511,2,0
1900035,3,0.7901865381942027,2,0
1900036,3,0.8166615649058192,2,0
1900037,3,0.8695043758850222,2,0
1900038,3,0.9199245697011618,2,0
1900039,3,0.9212419593312996,2,0
1900040,3,0.945195856961438,2,0
1900041,3,0.8879516674386793,2,0
1900042,3,0.9472494412816892,2,0
1900043,3,0.9685111527883222,2,0
1900044,3,0.9751552519671848,2,0
1900045,3,1.0132418812892725,2,0
1900046,3,0.942515138762647,2,0
1900047,3,0.9841911526039634,2,0
1900048,3,0.9790726318531346,2,0
1900049,3,0.9519671516509792,2,0
1900050,3,0.942640410830859,2,0
1900051,3,0.9093191558823318,2,0
1900052,3,0.942862161808007,2,0
1900053,3,0.974634904994024,2,0
1900054,3,0.9416651914830338,2,0
1900055,3,0.9270700501956922,2,0
1900056,3,0.8826022718511425,2,0
1900057,3,0.8934333909797788,2,0
1900058,3,0.9383202280593812,2,0
1900059,3,0.9735977553771876,2,0
1900060,3,0.9668035657052128,2,0
1900061,3,0.9699388871342124,2,0
1900062,3,0.990972060186444,2,0
1900063,3,0.987067487944244,2,0
1900064,3,1.0155723822593623,2,0
1900065,3,0.987236706181096,2,0
1900066,3,0.9799473173878612,2,0
1900067,3,1.0025668026983665,2,0
1900068,3,1.014722984408335,2,0
1900069,3,1.0764633507326542,2,0
1900070,3,1.0887463836504738,2,0
1900071,3,1.0728702066964255,2,0
1900072,3,1.083384082976496,2,0
1900073,3,1.1148918172673643,2,0
1900074,3,1.1270003544530576,2,0
1900075,3,1.1352942574995974,2,0
1900076,3,1.069305149284175,2,0
1900077,3,1.0800282615043686,2,0
1900078,3,1.090382016608793,2,0
1900079,3,1.087793966771472,2,0
1900080,3,1.031209325011765,2,0
1900081,3,1.0379107697684804,2,0
1900082,3,1.0370740779054226,2,0
1900083,3,1.0506752555698156,2,0
1900084,3,1.0557775802601608,2,0
1900085,3,1.0548585624607407,2,0
1900086,3,1.0940669607896802,2,0
1900087,3,1.0876185037255894,2,0
1900088,3,1.068205427759744,2,0
1900089,3,1.0725547019533046,2,0
1900090,3,1.0424909538969358,2,0
1900091,3,1.0922243031367314,2,0
1900092,3,1.0924908988728756,2,0
1900093,3,1.0811381248408285,2,0
1900094,3,1.0987120641017294,2,0
1900095,3,1.0939044909436315,2,0
1900096,3,1.1312367880880816,2,0
1900097,3,1.154875586032286,2,0
1900098,3,1.1410477113943118,2,0
1900099,3,1.142602853207869,2,0
1900100,3,1.1107350660735154,2,0
1900101,3,1.1186277836769771,2,0
1900102,3,1.1024804327031563,2,0
1900103,3,1.0663424677351716,2,0
1900104,3,1.0384295382852176,2,0
1900105,3,1.0367384001330262,2,0
1900106,3,1.0135013937558917,2,0
1900107,3,1.0497754178473608,2,0
1900108,3,1.0236415509363772,2,0
1900109,3,0.9616338894625206,2,0
1900110,3,1.0039969847714847,2,0
1900111,3,1.034762182270478,2,0
1900112,3,1.0247711634761294,2,0
1900113,3,1.0149421794728102,2,0
1900114,3,0.968417121926862,2,0
1900115,3,0.9935556248409978,2,0
1900116,3,0.930850689123457,2,0
1900117,3,0.8886112925650423,2,0
1900118,3,0.8922928103951313,2,0
1900119,3,0.8955971072235861,2,0
1900120,3,0.8693966383759052,2,0
1900121,3,0.8397066293743863,2,0
1900122,3,0.8004569366733247,2,0
1900123,3,0.7618600411060683,2,0
1900124,3,0.7380902748399628,2,0
1900125,3,0.7306217205710771,2,0
1900126,3,0.7734696289452053,2,0
1900127,3,0.7769983367670724,2,0
1900128,3,0.7819315060254354,2,0
1900129,3,0.8105728917081599,2,0
1900130,3,0.8727995747954655,2,0
1900131,3,0.8772940211823658,2,0
1900132,3,0.8658988430912103,2,0
1900133,3,0.844862729461049,2,0
1900134,3,0.863755881138305,2,0
1900135,3,0.863893767202236,2,0
1900136,3,0.9040440801171304,2,0
1900137,3,0.932888343803348,2,0
1900138,3,0.928362604500714,2,0
1900139,3,0.9550357776327224,2,0
1900140,3,0.9324540136578476,2,0
1900141,3,0.9408230008173074,2,0
1900142,3,0.9258100805336515,2,0
1900143,3,0.9446102118303952,2,0
1900144,3,0.9701858488153352,2,0
1900145,3,0.9912623854647986,2,0
1900146,3,0.9815336149551586,2,0
1900147,3,0.9950047169453872,2,0
1900148,3,0.9378083589135088,2,0
1900149,3,0.9204378438580114,2,0
1900150,3,0.8978390407190097,2,0
1900151,3,0.9280718132803214,2,0
1900152,3,0.9124353748306168,2,0
1900153,3,0.8883027499990321,2,0
1900154,3,0.8718455846580623,2,0
1900155,3,0.8572047293254264,2,0
1900156,3,0.8559770487781238,2,0
1900157,3,0.8847080815869961,2,0
1900158,3,0.9209528072185404,2,0
1900159,3,0.9066764469393912,2,0
1900160,3,0.9037150685589816,2,0
1900161,3,0.8963423256391653,2,0
1900162,3,0.9371354747937028,2,0
1900163,3,0.96693364956550365,2,0
1900164,3,0.90939184053604,2,0
1900165,3,0.9216845197798412,2,0
1900166,3,0.919119209404119,2,0
1900167,3,0.8984782299096356,2,0
1900168,3,0.8938243021748207,2,0
1900169,3,0.9265457338785076,2,0
1900170,3,0.9257850327930838,2,0
1900171,3,0.8781135946347914,2,0
1900172,3,0.8239462165405632,2,0
1900173,3,0.8283076012757952,2,0
1900174,3,0.749414999390066,2,0
1900175,3,0.6995669585651016,2,0
1900176,3,0.7041240233863142,2,0
1900177,3,0.7122458481372154,2,0
1900178,3,0.6866623317070525,2,0
1900179,3,0.6812954599502072,2,0
1900180,3,0.6416336524999003,2,0
1900181,3,0.6734461308064896,2,0
1900182,3,0.648324786962505,2,0
1900183,3,0.6319581259731019,2,0
1900184,3,0.6323920546137453,2,0
1900185,3,0.6344092691889358,2,0
1900186,3,0.6255522401008755,2,0
1900187,3,0.6341461519995742,2,0
1900188,3,0.6101032303151646,2,0
1900189,3,0.5972378338881286,2,0
1900190,3,0.6011736736494643,2,0
1900191,3,0.630257638114849,2,0
1900192,3,0.6221366877446772,2,0
1900193,3,0.6390922192315442,2,0
1900194,3,0.6948399868298335,2,0
1900195,3,0.7319204089050367,2,0
1900196,3,0.6948470608825505,2,0
1900197,3,0.6861936525770364,2,0
1900198,3,0.6578641495687384,2,0
1900199,3,0.6949930596673974,2,0
1900200,3,0.6906447464187669,2,0
1900201,3,0.7219759415150029,2,0
1900202,3,0.6833878098711167,2,0
1900203,3,0.712541328048361,2,0
1900204,3,0.7015457614679572,2,0
1900205,3,0.6918786545032019,2,0
1900206,3,0.6429629168397581,2,0
1900207,3,0.6351489445465758,2,0
1900208,3,0.6252540916268183,2,0
1900209,3,0.6383022526622706,2,0
1900210,3,0.6546898604858404,2,0
1900211,3,0.5998658245372386,2,0
1900212,3,0.5663579963547433,2,0
1900213,3,0.5738022761023144,2,0
1900214,3,0.6112468217476544,2,0
1900215,3,0.6406909253659845,2,0
1900216,3,0.5977815769622177,2,0
1900217,3,0.6831195879397977,2,0
1900218,3,0.6773793787165764,2,0
1900219,3,0.658355001532023,2,0
1900220,3,0.6723702048258893,2,0
1900221,3,0.732144909150881,2,0
1900222,3,0.7174925385539516,2,0
1900223,3,0.786018744131574,2,0
1900224,3,0.7815160946374732,2,0
1900225,3,0.8513144650686297,2,0
1900226,3,0.8148664140514225,2,0
1900227,3,0.8305044377090302,2,0
1900228,3,0.8831635485130326,2,0
1900229,3,0.9077853525221332,2,0
1900230,3,0.9057377586505112,2,0
1900231,3,0.8858273173562172,2,0
1900232,3,0.8360759602637942,2,0
1900233,3,0.8372730779643847,2,0
1900234,3,0.8593559952311498,2,0
1900235,3,0.8449552681525697,2,0
1900236,3,0.8674133219832366,2,0
1900237,3,0.8864000019746736,2,0
1900238,3,0.9136766356699932,2,0
1900239,3,0.9429135838706308,2,0
1900240,3,0.9482662945162348,2,0
1900241,3,0.9876126183764484,2,0
1900242,3,1.0148470226721564,2,0
1900243,3,0.9884461779338564,2,0
1900244,3,1.0495809293680056,2,0
1900245,3,1.0665436525054262,2,0
1900246,3,1.0222852272486405,2,0
1900247,3,0.9919724756356104,2,0
1900248,3,0.9902051243532064,2,0
1900249,3,0.9428378595040442,2,0
1900250,3,0.9276963082749812,2,0
1900251,3,0.928324301560172,2,0
1900252,3,0.9152627116442008,2,0
1900253,3,0.8976241956779876,2,0
1900254,3,0.9094939865667894,2,0
1900255,3,0.9064629773912154,2,0
1900256,3,0.9111912504999188,2,0
1900257,3,0.924283468882416,2,0
1900258,3,0.9431437545461758,2,0
1900259,3,0.9378202737859378,2,0
1900260,3,0.9154063538041924,2,0
1900261,3,0.9001690526921738,2,0
1900262,3,0.9521148205558728,2,0
1900263,3,0.9093895955622704,2,0
1900264,3,0.887846216043933,2,0
1900265,3,0.8897836807121604,2,0
1900266,3,0.9412885464479308,2,0
1900267,3,0.9559208552746704,2,0
1900268,3,0.9511488618589652,2,0
1900269,3,0.9378488019358558,2,0
1900270,3,1.023054563462942,2,0
1900271,3,1.0419932741722997,2,0
1900272,3,0.9869298433877176,2,0
1900273,3,0.9726362493361348,2,0
1900274,3,0.9623011348981542,2,0
1900275,3,1.0194948955075591,2,0
1900276,3,1.0033895377410964,2,0
1900277,3,0.9937180234641286,2,0
1900278,3,1.0337958937622365,2,0
1900279,3,1.0554562322792829,2,0
1900280,3,1.0906285455812657,2,0
1900281,3,1.1153849665940727,2,0
1900282,3,1.1150037003302944,2,0
1900283,3,1.115022103365087,2,0
1900284,3,1.1690179356299788,2,0
1900285,3,1.1617207923739536,2,0
1900286,3,1.1416392429484448,2,0
1900287,3,1.1486631077107223,2,0
1900288,3,1.145194596443277,2,0
1900289,3,1.1405023325748804,2,0
1900290,3,1.0817899709734389,2,0
1900291,3,1.092566455144662,2,0
1900292,3,1.081953806304179,2,0
1900293,3,1.116505668259622,2,0
1900294,3,1.1022588362621657,2,0
1900295,3,1.1501185621990384,2,0
1900296,3,1.1577446185309914,2,0
1900297,3,1.1617686653548116,2,0
1900298,3,1.160805188957391,2,0
1900299,3,1.1821378963902578,2,0
1900300,3,1.1627861739161258,2,0
1900301,3,1.095577900390882,2,0
1900302,3,1.0775739553992096,2,0
1900303,3,1.0434942525719386,2,0
1900304,3,1.065964477181731,2,0
1900305,3,1.0584692011210457,2,0
1900306,3,1.0434061465001794,2,0
1900307,3,1.048616348901647,2,0
1900308,3,1.0278389198207163,2,0
1900309,3,1.0523514682713493,2,0
1900310,3,1.0308475126978816,2,0
1900311,3,1.024645713082287,2,0
1900312,3,1.0104628875498507,2,0
1900313,3,1.0170066897156702,2,0
1900314,3,0.9836435426853812,2,0
1900315,3,0.9772920895491178,2,0
1900316,3,0.9842480181625894,2,0
1900317,3,1.0375526697473267,2,0
1900318,3,1.066827944690169,2,0
1900319,3,1.0717909329644928,2,0
1900320,3,1.1026483885303275,2,0
1900321,3,1.1029748541037103,2,0
1900322,3,1.0361445093881183,2,0
1900323,3,1.0418866639581243,2,0
1900324,3,1.072708463894584,2,0
1900325,3,1.0783760454449618,2,0
1900326,3,1.0647777032098988,2,0
1900327,3,1.0267513615307566,2,0
1900328,3,0.9739269306721964,2,0
1900329,3,1.0657962969490002,2,0
1900330,3,1.095600136472599,2,0
1900331,3,1.0637403708035966,2,0
1900332,3,1.0340587191757242,2,0
1900333,3,1.0563634292930992,2,0
1900334,3,1.0625548938627845,2,0
1900335,3,1.0838894387328677,2,0
1900336,3,1.0893942339028002,2,0
1900337,3,1.0747514870373096,2,0
1900338,3,1.073617718959487,2,0
1900339,3,1.0671511116030037,2,0
1900340,3,1.099670539385638,2,0
1900341,3,1.1101390724715343,2,0
1900342,3,1.085948146259361,2,0
1900343,3,1.0564500595281463,2,0
1900344,3,1.0234790593547862,2,0
1900345,3,1.0004950528338743,2,0
1900346,3,1.043120511940895,2,0
1900347,3,1.0763356262939543,2,0
1900348,3,1.023988219706067,2,0
1900349,3,0.9765621034507868,2,0
1900350,3,0.996489304285784,2,0
1900351,3,1.0057181655555725,2,0
1900352,3,1.0379079550732084,2,0
1900353,3,1.063819733879094,2,0
1900354,3,1.039732378927046,2,0
1900355,3,1.0342964240213623,2,0
1900356,3,1.012632922502659,2,0
1900357,3,1.0040648749191012,2,0
1900358,3,0.9709420191025352,2,0
1900359,3,0.9710982558345927,2,0
1900360,3,0.9640170100921044,2,0
1900361,3,0.9143085109832938,2,0
1900362,3,0.9460915599542634,2,0
1900363,3,0.9902048179883536,2,0
1900364,3,1.0339612303274688,2,0
1900365,3,1.0912833072169248,2,0
1900366,3,1.0995941943238172,2,0
1900367,3,1.083088827002909,2,0
1900368,3,1.1285405001331523,2,0
1900369,3,1.150500561806011,2,0
1900370,3,1.1300356726122287,2,0
1900371,3,1.1234048512953754,2,0
1900372,3,1.0525113048654935,2,0
1900373,3,1.0488905964982664,2,0
1900374,3,1.0491626260814044,2,0
1900375,3,1.0832761138111122,2,0
1900376,3,1.071622978277568,2,0
1900377,3,1.0576631026293977,2,0
1900378,3,1.0824725926115517,2,0
1900379,3,1.0735882104448964,2,0
1900380,3,1.0858693481495572,2,0
1900381,3,1.098387490939741,2,0
1900382,3,1.0512192044810234,2,0
1900383,3,1.0426199296560497,2,0
1900384,3,1.0736218061726628,2,0
1900385,3,1.0238422250914565,2,0
1900386,3,0.9775074476146148,2,0
1900387,3,0.9948271315455476,2,0
1900388,3,0.9748505329255504,2,0
1900389,3,0.9147878237624756,2,0
1900390,3,0.9167357037488482,2,0
1900391,3,0.8644408822719145,2,0
1900392,3,0.8433988493345386,2,0
1900393,3,0.8106605064749102,2,0
1900394,3,0.8146245042357899,2,0
1900395,3,0.8027336967241328,2,0
1900396,3,0.7758214610126397,2,0
1900397,3,0.8537220287018368,2,0
1900398,3,0.838417231009291,2,0
1900399,3,0.7790209432041777,2,0
1900400,3,0.8008795556987334,2,0
1900401,3,0.7936016943689269,2,0
1900402,3,0.7722462945033787,2,0
1900403,3,0.7430994933207351,2,0
1900404,3,0.764153306932422,2,0
1900405,3,0.7706498614463069,2,0
1900406,3,0.8022412742064811,2,0
1900407,3,0.8418801131631309,2,0
1900408,3,0.9069783731244684,2,0
1900409,3,0.9470813373886072,2,0
1900410,3,0.9172467151598216,2,0
1900411,3,0.915914840513582,2,0
1900412,3,0.9547274964139416,2,0
1900413,3,0.998722898435216,2,0
1900414,3,1.0281007714513308,2,0
1900415,3,0.9881106070935336,2,0
1900416,3,0.9485998518728468,2,0
1900417,3,0.9764346542652016,2,0
1900418,3,0.9808745492218568,2,0
1900419,3,0.95687854486448,2,0
1900420,3,0.9442119229487465,2,0
1900421,3,0.946311912910001,2,0
1900422,3,0.911070073969752,2,0
1900423,3,0.8964914150902631,2,0
1900424,3,0.9185547694949948,2,0
1900425,3,0.9310412848508406,2,0
1900426,3,0.8906597611315364,2,0
